Architect
in E. W. Pugin style,
in Peter Paul Pugin style,
in Joseph-Jacques Ramée style,
in Charles Reed style,
in Charles Reeves style,
in James Renwick Jr. style,
in Henry Hobson Richardson style,
in Thomas Rickman style,
in Eduard Riedel style,
in Antonio Rivas Mercado style,
in Robert S. Roeschlaub style,
in Isaiah Rogers style,
in John Root style,
in Carlo Rossi style,
in Archimedes Russell style,
in Octave van Rysselberghe style,
in John Holloway Sanders style,
in Frederick C. Sauer style,
in George Gilbert Scott style,
in George Gilbert Scott Jr. style,
in Karl Friedrich Schinkel style,
in Gottfried Semper style,
in Edmund Sharpe style,
in Joseph Lyman Silsbee style,
in Jacob Snyder style,
in John Soane style,
in August Soller style,
in Vasily P. Stasov style,
in J. J. Stevenson style,
in Heinrich Strack style,
in George Edmund Street style,
in William Strickland style,
in Friedrich August Stüler style,
in Louis Sullivan style,
in Henry Tanner style,
in Thomas Alexander Tefft style,
in Thomas Telford style,
in Samuel Sanders Teulon style,
in Constantine Andreyevich Ton style,
in Clair Tisseur style,
in Ithiel Town style,
in Silvanus Trevail style,
in William Tubby style,
in Richard Upjohn style,
in Calvert Vaux style,
in Eugène Viollet-le-Duc style,
in Otto Wagner style,
in Thomas U. Walter style,
in Alfred Waterhouse style,
in George Webster style,
in John Dodsley Webster style,
in Stanford White style,
in William Wilkins style,
in Frederick Clarke Withers style,
in William Halsey Wood style,
in Thomas Worthington style,
in Thomas Henry Wyatt style,
in Edward Alexander Wyon style,
in Ammi B. Young style,
in Nikola Živković style,
in Alvar Aalto style,
in Max Abramovitz style,
in David Adler style,
in Gerard Pieter Adolfs style,
in Charles N. Agree style,
in Walter W. Ahlschlager style,
in Franco Albini style,
in Christopher Alexander style,
in Tadao Ando style,
in Paul Andreu style,
in Edmund Anscombe style,
in Milan Antonović style,
in Siah Armajani style,
in Raul de Armas style,
in João Batista Vilanova Artigas style,
in Hisham N. Ashkouri style,
in Charles Herbert Aslin style,
in Gunnar Asplund style,
in Ian Athfield style,
in Fritz Auer style,
in Gae Aulenti style,
in Carlo Aymonino style,
in Rafiq Azam, Bangladesh style,
in Laurie Baker style,
in Sixto Durán Ballén style,
in Lina Bo Bardi style,
in Edward Larrabee Barnes style,
in Howard R. Barr style,
in Luis Barragán style,
in Fred Bassetti style,
in Garry Baverstock AM style,
in Geoffrey Bawa style,
in Isobel Hogg Kerr Beattie style,
in Welton Becket style,
in Claud Beelman style,
in Adolf Behne style,
in Peter Behrens style,
in Pietro Belluschi style,
in Hendrik Petrus Berlage style,
in Mordechai Benshemesh style,
in Antonio Bilbao La Vieja style,
in Titus de Bobula style,
in Ricardo Bofill style,
in Oriol Bohigas style,
in Gottfried Böhm style,
in J. Max Bond Jr. style,
in Dariush Borbor style,
in Mario Botta style,
in Claude Fayette Bragdon style,
in C.A. "Peter" Bransgrove style,
in Marcel Breuer style,
in Denise Scott Brown style,
in Halldóra Briem style,
in Gordon Bunshaft style,
in John Burgee style,
in Daniel Burnham style,
in Santiago Calatrava style,
in Peter Calthorpe style,
in Alberto Campo Baeza style,
in Sir Hugh Casson style,
in Judith Chafee style,
in James Chapman-Taylor style,
in Ethel Charles style,
in Jorge Ferreira Chaves style,
in Ann R. Chaintreuil style,
in Serge Chermayeff style,
in David Chipperfield style,
in Wells Coates style,
in Josep Antoni Coderch style,
in Charles A. Cofield, US style,
in Coleman Coker style,
in Mary Colter style,
in Peter Cook style,
in Isadore style,
in Le Corbusier style,
in Ernest Cormier style,
in Charles Correa style,
in Lúcio Costa style,
in Ralph Adams Cram style,
in Charles Howard Crane style,
in Paul Philippe Cret style,
in Louis Curtiss style,
in Kirtland Cutter style,
in D–G style,
in [edit] style,
in Justus Dahinden style,
in Karl Damschen style,
in Raimondo Tommaso D'Aronco style,
in Miša David style,
in Giancarlo De Carlo style,
in Frederic Joseph DeLongchamps style,
in François Deslaugiers style,
in Jack Diamond style,
in Filipe Oliveira Dias style,
in Theo van Doesburg style,
in B. V. Doshi style,
in Alden B. Dow style,
in Jane Drew style,
in Andrés Duany style,
in Max Dudler style,
in Michael Middleton Dwyer style,
in Willem Marinus Dudok style,
in Arthur Dyson style,
in H. Kempton Dyson style,
in Charles Eames style,
in Ray Eames style,
in John Eberson style,
in Peter Eisenman style,
in George Grant Elmslie style,
in Richard England style,
in Arthur Erickson style,
in Raymond Erith style,
in Aldo van Eyck style,
in Hassan Fathy style,
in Sverre Fehn style,
in Arthur Fehr style,
in Hermann Finsterlin style,
in Theodor Fischer style,
in Harold H. Fisher style,
in Kay Fisker style,
